Spec#,Date coll,Jar #,Tag # individ,M/F,mm,BD,MC(L),MC(S),ACANTH,Coordinates,,
CT_122,28-Aug-2019,Cray2019_378,1489,F,27.6,,,,,Cray2019_378: 32.72256N -79.97005W,,
CT_123,28-Aug-2019,Cray2019_378,1487,F,22.2,,,,,Cray2019_378: 32.72256N -79.97005W,,
CT_124,28-Aug-2019,Cray2019_378,1488,F,20.1,,,,,Cray2019_378: 32.72256N -79.97005W,,
CT_125,9-Mar-2019,Cray2019_237,Trog_0421,M,17.4,,,,,"Cray2019_237: 32.799300N, -79.897677W",,
CT_126,9-Mar-2019,Cray2019_237,Trog_0417,M,17.9,,,,,"Cray2019_237: 32.799300N, -79.897677W",,
CT_127,9-Mar-2019,Cray2019_237,Trog_0420,M,14.8,,,,,"Cray2019_237: 32.799300N, -79.897677W",,
CT_128,9-Mar-2019,Cray2019_237,Trog_0418,M,16.2,,,,,"Cray2019_237: 32.799300N, -79.897677W",,
CT_129,9-Mar-2019,Cray2019_237,Trog_0419,F,17.1,,,,,"Cray2019_237: 32.799300N, -79.897677W",,
CT_130,9-Mar-2019,Cray2019_237,Trog_0416,F,15.3,,,,,"Cray2019_237: 32.799300N, -79.897677W",,
CT_131,9-Mar-2019,Cray2019_237,Trog_0423,M,14.6,,,,,"Cray2019_237: 32.799300N, -79.897677W",,
CT_132,9-Mar-2019,Cray2019_237,Trog_0411,F,16.2,,,,,"Cray2019_237: 32.799300N, -79.897677W",,
CT_133,9-Mar-2019,Cray2019_237,Trog_0422,F,15.1,,,,,"Cray2019_237: 32.799300N, -79.897677W",,
CT_134,9-Mar-2019,Cray2019_237,Trog_0412,F,16,,,,,"Cray2019_237: 32.799300N, -79.897677W",,
CT_135,9-Mar-2019,Cray2019_237,Trog_0414,F,13.6,,,,,"Cray2019_237: 32.799300N, -79.897677W",,
CT_136,9-Mar-2019,Cray2019_237,Trog_0415,M,18.7,,,,,"Cray2019_237: 32.799300N, -79.897677W",,
CT_137,9-Mar-2019,Cray2019_237,Trog_0413,F,16.6,,,,,"Cray2019_237: 32.799300N, -79.897677W",,
CT_138,28-May-2019,Cray2019_333,Trog_0238,M,27.6,,,,,"Cray2019_333: 33.661482N, -79.152658W",,
CT_139,28-May-2019,Cray2019_333,Trog_0239,M,29.5,,,,,"Cray2019_333: 33.661482N, -79.152658W",,
CT_140,28-May-2019,Cray2019_333,Trog_0236,F,31.2,,,,,"Cray2019_333: 33.661482N, -79.152658W",,
CT_141,28-May-2019,Cray2019_333,Trog_0234,M,25.5,,,,,"Cray2019_333: 33.661482N, -79.152658W",,
CT_142,28-May-2019,Cray2019_333,Trog_0237,M,29.1,,,,,"Cray2019_333: 33.661482N, -79.152658W",,
CT_143,28-May-2019,Cray2019_333,Trog_0231,M,25.6,,,,,"Cray2019_333: 33.661482N, -79.152658W",,
CT_144,28-May-2019,Cray2019_333,Trog_0232,M,25.7,,,,,"Cray2019_333: 33.661482N, -79.152658W",,
CT_145,28-May-2019,Cray2019_333,Trog_0229,M,26.4,,,,,"Cray2019_333: 33.661482N, -79.152658W",,
CT_146,28-May-2019,Cray2019_333,Trog_0228,M,26.8,,,,,"Cray2019_333: 33.661482N, -79.152658W",,
CT_147,28-May-2019,Cray2019_333,Trog_0230,M,29.6,,,,,"Cray2019_333: 33.661482N, -79.152658W",,
CT_148,28-May-2019,Cray2019_333,Trog_0240,F,23.4,,,,,"Cray2019_333: 33.661482N, -79.152658W",,
CT_149,28-May-2019,Cray2019_333,Trog_0235,F,23.2,,,,,"Cray2019_333: 33.661482N, -79.152658W",,
CT_150,28-May-2019,Cray2019_333,Trog_0233,M,,,,,,"Cray2019_333: 33.661482N, -79.152658W",,
CT_151,9-Dec-2019,Cray2019_563,345,M,30.1,,,,,"Cray2019_563: 32.7227N, -79.9682W",,
